Time,Temperature,Humidity
350693,21.96,38.039
351442,22.02,50.594
352192,22,35.204
352942,22.1,40.874
353695,22.01,35.245
354448,22.1,40.874
355202,21.95,42.089
355956,22.02,50.594
356710,21.96,38.039
357467,21.95,42.048
358224,22,35.285
358981,22.09,40.874
359738,22.01,50.594
360496,21.96,38.039
361257,22,35.366
362018,21.94,42.048
362779,22.01,50.594
363541,21.96,38.039
364303,22.1,40.874
365068,21.94,42.048
365833,21.96,38.039
366598,22.1,40.914
367364,22,35.447
368130,22.02,50.594
368899,22,35.447
369668,21.92,42.089
370438,21.96,38.039
371208,22.02,50.594
371978,22.08,40.955
372751,22.1,40.914
373524,22.02,50.594
374298,21.94,42.089
375072,21.96,38.039
375846,22,35.528
376623,22,35.487
377400,21.94,42.048
378178,22.02,50.554
378956,21.94,38.039
379734,22.1,40.955
380515,22.1,40.955
381296,22,35.487
382077,21.93,42.008
382859,21.97,38.039
383641,22.03,50.594
384426,21.94,42.008
385211,22.02,50.594
385996,21.96,38.039
386782,22,35.487
387568,22.09,40.874
388357,21.93,42.008
389146,22.03,50.554
389936,22,35.487
390726,22.1,40.874
391516,21.96,38.039
392309,21.99,35.447
393102,22.09,40.955
393895,21.96,38.039
394689,22.03,50.594
395483,21.92,42.048
396280,21.92,42.048
397077,22.08,40.955
397874,21.96,38.08
398671,22.02,50.594
399469,22,35.487
400270,21.94,42.008
401071,22,35.487
401872,22.09,40.874
402674,21.96,38.08
403476,22.02,50.594
404281,21.96,38.08
405086,22.01,35.487
405891,21.93,42.008
406696,22.02,50.594
407502,22.09,40.874
408311,22.08,40.914
409120,22.02,50.635
409929,22.01,35.487
410739,21.96,38.08
411549,21.94,42.048
412362,22.02,50.635
413175,22.01,35.487
413988,21.96,38.08
414802,21.92,42.008
415616,22.08,40.914
416433,21.93,42.008
417251,21.96,38.08
418069,22.09,40.914
418887,22,35.447
419705,22.01,50.675
420526,22.02,50.675
421347,21.92,41.968
422168,22.08,40.955
422989,21.97,38.08
423811,22.01,35.447
424637,22.09,40.955
425463,22,35.447
